iter	Passed	Remaining
0	2	200
1	3	189
2	5	174
3	6	164
4	8	162
5	10	158
6	11	153
7	13	149
8	14	146
9	15	143
10	17	141
11	19	139
12	20	137
13	22	139
14	24	138
15	25	136
16	27	134
17	29	135
18	31	134
19	33	132
20	34	130
21	37	131
22	38	129
23	40	127
24	41	125
25	43	123
26	44	121
27	46	118
28	47	117
29	49	115
30	51	113
31	52	112
32	54	110
33	56	108
34	57	107
35	60	107
36	62	105
37	63	103
38	65	103
39	67	101
40	69	99
41	70	96
42	71	95
43	73	93
44	75	92
45	77	90
46	78	88
47	80	87
48	82	85
49	83	83
50	85	81
51	86	80
52	88	78
53	90	76
54	91	74
55	92	72
56	94	71
57	96	69
58	98	68
59	99	66
60	101	64
61	103	63
62	104	61
63	106	60
64	108	58
65	109	56
66	111	54
67	113	53
68	115	51
69	116	49
70	118	48
71	119	46
72	121	44
73	123	43
74	125	41
75	126	40
76	129	38
77	131	37
78	133	35
79	134	33
80	136	32
81	138	30
82	139	28
83	141	26
84	142	25
85	144	23
86	146	21
87	147	20
88	149	18
89	151	16
90	152	15
91	154	13
92	155	11
93	157	10
94	159	8
95	161	6
96	162	5
97	164	3
98	165	1
99	167	0
